order,id,date,time,title,url,visitCount,typedCount,transition
11,4466,6/9/2025,12:43:58,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771,9,0,form_submit
12,395,6/9/2025,12:43:52,Увійдіть на сайт | LMS Moodle at UCU,https://learn.ucu.edu.ua/login/index.php,48,1,link
13,4466,6/9/2025,12:43:49,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771,9,0,reload
14,4909,6/9/2025,12:37:46,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0,5,0,link
15,4924,6/9/2025,12:37:44,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0#heading=h.4t7yilq0v836,2,0,link
16,308,6/9/2025,4:38:05,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day,15,4,link
17,4921,6/8/2025,20:26:50,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771&action=view,2,0,form_submit
18,4920,6/8/2025,20:26:07,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт - Редагувати відповідь | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771&action=editsubmission,2,0,form_submit
19,4923,6/8/2025,20:24:44,Ukraine Heat Map,https://shevdan.github.io/data_viz_project/,1,0,link
20,4922,6/8/2025,20:24:37,GitHub - shevdan/data_viz_project,https://github.com/shevdan/data_viz_project/tree/main,1,0,link
21,4921,6/8/2025,20:23:37,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771&action=view,2,0,form_submit
22,4920,6/8/2025,20:16:49,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт - Редагувати відповідь | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771&action=editsubmission,2,0,form_submit
23,4466,6/8/2025,20:16:38,Data Visualization (2.24-25.PKN24/M): Курсовий проєкт | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101771,9,0,link
24,3979,6/8/2025,20:16:32,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
25,719,6/8/2025,20:16:25,Оцінки - Шевчук Богдан | LMS Moodle at UCU,https://learn.ucu.edu.ua/grade/report/overview/index.php,77,0,link
26,4851,6/8/2025,20:15:48,Тест на знання теорії: спроба перегляду | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/quiz/review.php?attempt=120586&cmid=102520#question-128171-6,2,0,link
27,4849,6/8/2025,20:15:00,Тест на знання теорії: спроба перегляду | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/quiz/review.php?attempt=120586&cmid=102520,3,0,link
28,4845,6/8/2025,20:14:56,Data Visualization (2.24-25.PKN24/M): Тест на знання теорії | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/quiz/view.php?id=102520,5,0,link
29,4919,6/8/2025,20:14:53,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995#,2,0,link
30,4919,6/8/2025,20:14:51,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995#,2,0,link
31,3979,6/8/2025,20:14:49,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
32,4423,6/8/2025,20:14:48,Data Visualization (2.24-25.PKN24/M): Відтворити графік за макетом | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101801,10,0,link
33,4475,6/8/2025,20:13:12,Untitled / UCU | Observable,https://observablehq.com/d/3f5f49f210577492,4,0,reload
34,4475,6/8/2025,20:00:23,Untitled / UCU | Observable,https://observablehq.com/d/3f5f49f210577492,4,0,link
35,4423,6/8/2025,19:55:52,Data Visualization (2.24-25.PKN24/M): Відтворити графік за макетом | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101801,10,0,link
36,3979,6/8/2025,19:55:44,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
37,4048,6/8/2025,19:47:35,Data Visualization (2.24-25.PKN24/M): Створення графіка з використанням d3.js | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/assign/view.php?id=101070,15,0,link
38,3979,6/8/2025,19:47:27,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
39,3981,6/8/2025,19:47:24,"Data Visualization (2.24-25.PKN24/M): Особистий ""inspiration list"" | LMS Moodle at UCU",https://learn.ucu.edu.ua/mod/assign/view.php?id=99671,16,0,link
40,4918,6/8/2025,19:47:22,Data Visualization (2.24-25.PKN24/M): Особисті дані: Дроздова Євгенія | LMS Moodle at UCU,https://learn.ucu.edu.ua/user/view.php?id=25768&course=7242,1,0,link
41,3981,6/8/2025,19:47:03,"Data Visualization (2.24-25.PKN24/M): Особистий ""inspiration list"" | LMS Moodle at UCU",https://learn.ucu.edu.ua/mod/assign/view.php?id=99671,16,0,link
42,3979,6/8/2025,19:47:00,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
43,4845,6/8/2025,19:46:55,Data Visualization (2.24-25.PKN24/M): Тест на знання теорії | LMS Moodle at UCU,https://learn.ucu.edu.ua/mod/quiz/view.php?id=102520,5,0,link
44,3979,6/8/2025,19:46:30,Data Visualization (2.24-25.PKN24/M): Звіт про діяльність (grade) | LMS Moodle at UCU,https://learn.ucu.edu.ua/course/user.php?mode=grade&id=7242&user=20995,27,0,link
45,719,6/8/2025,19:46:26,Оцінки - Шевчук Богдан | LMS Moodle at UCU,https://learn.ucu.edu.ua/grade/report/overview/index.php,77,0,form_submit
46,395,6/8/2025,19:46:17,Увійдіть на сайт | LMS Moodle at UCU,https://learn.ucu.edu.ua/login/index.php,48,1,link
47,395,6/8/2025,19:46:17,Увійдіть на сайт | LMS Moodle at UCU,https://learn.ucu.edu.ua/login/index.php,48,1,link
48,4917,6/8/2025,17:48:52,чи можна вступити на магістратуру на основі повної загальної середньої освіти - Google Search,https://www.google.com/search?q=%D1%87%D0%B8+%D0%BC%D0%BE%D0%B6%D0%BD%D0%B0+%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%B8%D1%82%D0%B8+%D0%BD%D0%B0+%D0%BC%D0%B0%D0%B3%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%83+%D0%BD%D0%B0+%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%96+%D0%BF%D0%BE%D0%B2%D0%BD%D0%BE%D1%97+%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97+%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8C%D0%BE%D1%97+%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8&oq=%D1%87%D0%B8+%D0%BC%D0%BE%D0%B6%D0%BD%D0%B0+%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%B8%D1%82%D0%B8+%D0%BD%D0%B0+%D0%BC%D0%B0%D0%B3%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D1%83%D1%80%D1%83+%D0%BD%D0%B0+%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%96+%D0%BF%D0%BE%D0%B2%D0%BD%D0%BE%D1%97+%D0%B7%D0%B0%D0%B3%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%97+%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BD%D1%8C%D0%BE%D1%97+%D0%BE%D1%81%D0%B2%D1%96%D1%82%D0%B8&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCTIyMzAwajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,1,0,generated
49,4916,6/8/2025,17:47:15,Конкурсні пропозиції | #ВСТУП 2025 | електронний кабінет | конкурс,https://vstup.edbo.gov.ua/offers/,1,0,link
50,4915,6/8/2025,17:47:03,єдебо код вступника - Google Search,https://www.google.com/search?q=%D1%94%D0%B4%D0%B5%D0%B1%D0%BE+%D0%BA%D0%BE%D0%B4+%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%BD%D0%B8%D0%BA%D0%B0&sca_esv=3d47400899ce5444&ei=UKJFaLGjGrS0wPAP0ryggQI&ved=0ahUKEwixi9-_iOKNAxU0GhAIHVIeKCAQ4dUDCBA&uact=5&oq=%D1%94%D0%B4%D0%B5%D0%B1%D0%BE+%D0%BA%D0%BE%D0%B4+%D0%B2%D1%81%D1%82%D1%83%D0%BF%D0%BD%D0%B8%D0%BA%D0%B0&gs_lp=Egxnd3Mtd2l6LXNlcnAiJNGU0LTQtdCx0L4g0LrQvtC0INCy0YHRgtGD0L_QvdC40LrQsDIFECEYnwVI2FRQmj9YnFNwAXgBkAEAmAFuoAGxCqoBBDE1LjG4AQPIAQD4AQGYAhGgAv4KwgIKEAAYsAMY1gQYR8ICCBAAGBYYChgewgIFEAAY7wXCAgcQABiABBgTwgIIEAAYExgWGB7CAgUQABiABMICBBAAGB7CAgYQABgKGB7CAgYQABgWGB7CAgUQIRigAZgDAIgGAZAGCJIHBDE0LjOgB9JrsgcEMTMuM7gH9wrCBwYwLjQuMTPIBzw&sclient=gws-wiz-serp,1,0,form_submit
51,4914,6/8/2025,17:46:40,єдебо вступ на основі - Google Search,https://www.google.com/search?q=%D1%94%D0%B4%D0%B5%D0%B1%D0%BE+%D0%B2%D1%81%D1%82%D1%83%D0%BF+%D0%BD%D0%B0+%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%96&oq=%D1%94%D0%B4%D0%B5%D0%B1%D0%BE+%D0%B2%D1%81%D1%82%D1%83%D0%BF+%D0%BD%D0%B0+%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D1%96&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRigATIHCAIQIRigATIGCAMQIRgV0gEIMzM0MmowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,1,0,generated
52,4913,6/8/2025,16:27:03,How To Install Apache Kafka on Mac OS? - GeeksforGeeks,https://www.geeksforgeeks.org/installation-guide/how-to-install-apache-kafka-on-mac-os/#step-2-copy-the-command,1,0,link
53,4912,6/8/2025,16:27:01,How To Install Apache Kafka on Mac OS? - GeeksforGeeks,https://www.geeksforgeeks.org/installation-guide/how-to-install-apache-kafka-on-mac-os/,1,0,link
54,4911,6/8/2025,16:26:56,brew install kafka - Google Search,https://www.google.com/search?q=brew+install+kafka&oq=brew+install+kafka&gs_lcrp=EgZjaHJvbWUqBwgAEAAYgAQyBwgAEAAYgAQyBwgBEAAYgAQyCAgCEAAYFhgeMggIAxAAGBYYHjIICAQQABgWGB4yCAgFEAAYFhgeMggIBhAAGBYYHjIICAcQABgWGB4yCAgIEAAYFhgeMggICRAAGBYYHtIBCDMxOTVqMGo3qAIAsAIA&sourceid=chrome&ie=UTF-8,1,0,generated
55,4909,6/8/2025,15:50:43,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0,5,0,link
56,4910,6/8/2025,15:50:16,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0#heading=h.d5pry1fdu165,2,0,link
57,4909,6/8/2025,15:50:15,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0,5,0,link
58,4910,6/8/2025,15:50:14,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0#heading=h.d5pry1fdu165,2,0,link
59,3553,6/8/2025,15:44:10,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,7,0,link
60,4908,6/8/2025,15:42:58,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/examples,2,0,link
61,4909,6/8/2025,15:05:05,Shevchuk_DE_Data_streaming_hw1 - Google Docs,https://docs.google.com/document/d/1PKx-luU6X9bpDkb1ZO7DCJtLay9wt8w5h7Zdxr90utE/edit?tab=t.0,5,0,link
62,497,6/8/2025,15:05:04,Untitled document - Google Docs,https://docs.google.com/document/u/0/create?usp=docs_home&ths=true,4,0,link
63,491,6/8/2025,15:05:00,Google Docs,https://docs.google.com/document/u/0/?tgif=c,8,0,link
64,490,6/8/2025,15:05:00,Google Docs,https://docs.google.com/document/u/0/,6,0,link
65,1535,6/8/2025,15:05:00,Google Docs,https://docs.google.com/document/u/0/?usp=docs_web,6,0,link
66,3553,6/8/2025,14:48:38,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,7,0,link
67,4346,6/8/2025,14:48:36,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/lecture-matherials,3,0,link
68,4038,6/8/2025,14:47:17,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/introduction-into-kafka-streams,5,0,link
69,4037,6/8/2025,14:47:10,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-throughput,8,0,link
70,4871,6/8/2025,14:47:06,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/lesson-2,2,0,link
71,4037,6/8/2025,14:37:27,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-throughput,8,0,link
72,3553,6/8/2025,14:31:36,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/quiz/investigation-of-kafka-cli-tools,7,0,link
73,4908,6/8/2025,14:31:28,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/examples,2,0,link
74,4907,6/8/2025,14:31:15,🎓Data Streaming with Kafka — Школа цілісного розвитку УКУ,https://study.ucu.edu.ua/course/data-streaming-with-kafka/lesson/lesson-3,1,0,link
75,4873,6/8/2025,13:35:59,Meet - Nazarenko presentation discussion,https://meet.google.com/rbd-oans-pre?authuser=0,14,0,link
76,4873,6/8/2025,13:35:58,Meet - Nazarenko presentation discussion,https://meet.google.com/rbd-oans-pre?authuser=0,14,0,link
77,4905,6/8/2025,13:27:44,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_806#slide=id.g361f16aad4f_0_806,1,0,link
78,4904,6/8/2025,13:27:34,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_1056#slide=id.g361f16aad4f_0_1056,1,0,link
79,4887,6/8/2025,13:27:31,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_977#slide=id.g361f16aad4f_0_977,2,0,link
80,4903,6/8/2025,13:27:30,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_941#slide=id.g361f16aad4f_0_941,1,0,link
81,4886,6/8/2025,13:27:30,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_928#slide=id.g361f16aad4f_0_928,4,0,link
82,4902,6/8/2025,13:27:29,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_918#slide=id.g361f16aad4f_0_918,4,0,link
83,4901,6/8/2025,13:27:12,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_911#slide=id.g361f16aad4f_0_911,2,0,link
84,4902,6/8/2025,13:27:11,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_918#slide=id.g361f16aad4f_0_918,4,0,link
85,4886,6/8/2025,13:27:11,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_928#slide=id.g361f16aad4f_0_928,4,0,link
86,4902,6/8/2025,13:27:11,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_918#slide=id.g361f16aad4f_0_918,4,0,link
87,4886,6/8/2025,13:27:11,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_928#slide=id.g361f16aad4f_0_928,4,0,link
88,4902,6/8/2025,13:27:10,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_918#slide=id.g361f16aad4f_0_918,4,0,link
89,4901,6/8/2025,13:27:09,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_911#slide=id.g361f16aad4f_0_911,2,0,link
90,4900,6/8/2025,13:24:11,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day/2025/6/12,5,0,link
91,4900,6/8/2025,13:24:11,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day/2025/6/12,5,0,link
92,4900,6/8/2025,13:24:10,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day/2025/6/12,5,0,link
93,4900,6/8/2025,13:23:04,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day/2025/6/12,5,0,link
94,4900,6/8/2025,13:23:02,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day/2025/6/12,5,0,link
95,4899,6/8/2025,13:23:02,"Ucu.edu.ua - Calendar - Thursday, June 12, 2025",https://calendar.google.com/calendar/u/0/r/day/2025/6/11,1,0,link
96,4898,6/8/2025,13:23:02,"Ucu.edu.ua - Calendar - Wednesday, June 11, 2025",https://calendar.google.com/calendar/u/0/r/day/2025/6/10,1,0,link
97,4897,6/8/2025,13:23:01,"Ucu.edu.ua - Calendar - Tuesday, June 10, 2025",https://calendar.google.com/calendar/u/0/r/day/2025/6/9,1,0,link
98,308,6/8/2025,13:22:59,"Ucu.edu.ua - Calendar - Monday, June 9, 2025, today",https://calendar.google.com/calendar/u/0/r/day,15,4,typed
99,4896,6/8/2025,13:17:48,Copy of питання на іспит - Google Docs,https://docs.google.com/document/d/1Wk1PE8nPGWqEc1Ho3E7ASXaPLu7oJgNqrr2uRIsbqLU/edit?tab=t.0,3,0,link
100,4896,6/8/2025,13:17:48,Copy of питання на іспит - Google Docs,https://docs.google.com/document/d/1Wk1PE8nPGWqEc1Ho3E7ASXaPLu7oJgNqrr2uRIsbqLU/edit?tab=t.0,3,0,link
101,4896,6/8/2025,13:17:47,Copy of питання на іспит - Google Docs,https://docs.google.com/document/d/1Wk1PE8nPGWqEc1Ho3E7ASXaPLu7oJgNqrr2uRIsbqLU/edit?tab=t.0,3,0,link
102,4895,6/8/2025,13:17:47,Copy of питання на іспит - Google Docs,https://docs.google.com/document/u/0/d/1Wk1PE8nPGWqEc1Ho3E7ASXaPLu7oJgNqrr2uRIsbqLU/edit?fromCopy=true&ct=2,1,0,link
103,4893,6/8/2025,13:17:35,питання на іспит - Google Docs,https://docs.google.com/document/d/1nknMBjuH5pmGSrhuSFWsgNmS3-VS5cisng-cfWqTnOs/edit?tab=t.0,1,0,auto_toplevel
104,4892,6/8/2025,13:14:51,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_1_25#slide=id.g361f16aad4f_1_25,1,0,link
105,4891,6/8/2025,13:14:48,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_1365#slide=id.g361f16aad4f_0_1365,1,0,link
106,4890,6/8/2025,13:14:46,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_1257#slide=id.g361f16aad4f_0_1257,1,0,link
107,4889,6/8/2025,13:14:45,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_1191#slide=id.g361f16aad4f_0_1191,1,0,link
108,4888,6/8/2025,13:14:42,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_989#slide=id.g361f16aad4f_0_989,1,0,link
109,4887,6/8/2025,13:14:41,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_977#slide=id.g361f16aad4f_0_977,2,0,link
110,4886,6/8/2025,13:14:39,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_928#slide=id.g361f16aad4f_0_928,4,0,link
111,4885,6/8/2025,13:14:37,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_860#slide=id.g361f16aad4f_0_860,1,0,link
112,4884,6/8/2025,13:13:51,‎Gemini - Big Data: Privacy Debate Plan,https://gemini.google.com/share/44abfa049f73,1,0,auto_toplevel
113,4882,6/8/2025,13:13:42,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.p#slide=id.p,1,0,link
114,4881,6/8/2025,13:13:41,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?slide=id.g361f16aad4f_0_800#slide=id.g361f16aad4f_0_800,1,0,link
115,4880,6/8/2025,13:13:40,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit,1,0,link
116,4879,6/8/2025,13:13:39,HEAT - Google Slides,https://docs.google.com/presentation/d/1B9yAxju2MzLa2Wtl_sc_PyOoQ7LYMlptCymXm5hiWpo/edit?usp=sharing,1,1,typed
117,4878,6/8/2025,13:07:09,Big Data Slides - Google Docs,https://docs.google.com/document/d/1PacRhHA1YimK3cdtRiw9oYobKSpulOw5CgZdJNhMOPM/edit?tab=t.0,1,0,link
